SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
37,Ambasamudram,CWC,33,Tamil Nadu,588,Theni,THENI,THENI,Theni,Duplicate-Vaigai,East flowing rivers between Pennar and Kanyakumari,Vaigai,-,-,Vaigai,9.92555556,77.51166667,30-09-2019 05:30,1
38,Ambasamudram,CWC,33,Tamil Nadu,588,Theni,THENI,THENI,Theni,Duplicate-Vaigai,East flowing rivers between Pennar and Kanyakumari,Vaigai,-,-,Vaigai,9.92555556,77.51166667,30-09-2019 06:30,1.7
39,Ambasamudram,CWC,33,Tamil Nadu,588,Theni,THENI,THENI,Theni,Duplicate-Vaigai,East flowing rivers between Pennar and Kanyakumari,Vaigai,-,-,Vaigai,9.92555556,77.51166667,30-09-2019 07:30,1.3
40,Ambasamudram,CWC,33,Tamil Nadu,588,Theni,THENI,THENI,Theni,Duplicate-Vaigai,East flowing rivers between Pennar and Kanyakumari,Vaigai,-,-,Vaigai,9.92555556,77.51166667,30-09-2019 08:30,0.1
41,Ambasamudram,CWC,33,Tamil Nadu,588,Theni,THENI,THENI,Theni,Duplicate-Vaigai,East flowing rivers between Pennar and Kanyakumari,Vaigai,-,-,Vaigai,9.92555556,77.51166667,08-10-2019 09:30,0.2
42,Ambasamudram,CWC,33,Tamil Nadu,588,Theni,THENI,THENI,Theni,Duplicate-Vaigai,East flowing rivers between Pennar and Kanyakumari,Vaigai,-,-,Vaigai,9.92555556,77.51166667,27-12-2019 14:30,5
43,Ambasamudram,CWC,33,Tamil Nadu,588,Theni,THENI,THENI,Theni,Duplicate-Vaigai,East flowing rivers between Pennar and Kanyakumari,Vaigai,-,-,Vaigai,9.92555556,77.51166667,24-06-2020 23:30,0.2
44,Ambasamudram,CWC,33,Tamil Nadu,588,Theni,THENI,THENI,Theni,Duplicate-Vaigai,East flowing rivers between Pennar and Kanyakumari,Vaigai,-,-,Vaigai,9.92555556,77.51166667,25-06-2020 00:30,0.4
45,Ambasamudram,CWC,33,Tamil Nadu,588,Theni,THENI,THENI,Theni,Duplicate-Vaigai,East flowing rivers between Pennar and Kanyakumari,Vaigai,-,-,Vaigai,9.92555556,77.51166667,25-06-2020 01:30,0.1
46,Ambasamudram,CWC,33,Tamil Nadu,588,Theni,THENI,THENI,Theni,Duplicate-Vaigai,East flowing rivers between Pennar and Kanyakumari,Vaigai,-,-,Vaigai,9.92555556,77.51166667,25-06-2020 04:30,0.1
