SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
48,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,09-03-2021 17:00,1
49,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,09-03-2021 22:30,1
50,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,12-03-2021 02:00,0.5
51,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,12-03-2021 03:00,1
52,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,12-03-2021 07:30,0.5
53,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,12-03-2021 08:30,1
54,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,23-03-2021 08:00,0.5
55,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,23-03-2021 13:30,0.5
56,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,27-03-2021 02:00,3.5
57,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,27-03-2021 07:30,3.5
58,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,28-03-2021 09:00,3
59,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,28-03-2021 14:30,3
60,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,30-03-2021 06:00,0.5
61,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,30-03-2021 11:30,0.5
62,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,31-03-2021 08:00,0.5
63,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,31-03-2021 13:30,0.5
64,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,01-04-2021 08:00,0.5
