suite,variant,scenario_id,scenario,zones,zones_goal_passed,workflow_violations,inventory_over_commit,unsafe_commits,goal_passed,tool_calls,tool_errors,invalid_arguments,redundant_calls,steps,pending_approvals,escalations,mutual_aid_requests,commits,latency_ms,high_severity_needs,high_severity_needs_covered,priority_inversions,confident_wrong_allocations,plan_adherence,plan_check_ok,tot_branch,debate_objections,negotiations,reflexion_revisions,notifications
cvae,stage03_outage,S11,Receding but still flooded,2,2,0,False,0,True,23,4,0,2,33,1,1,0,0,99.2,3,3,0,0,1.0,True,one_each_then_rank,0,0,0,0
cvae,stage03_outage,S12,Bridge collapse isolation,2,2,0,False,0,True,32,4,0,2,45,2,4,6,0,87.1,6,5,0,0,1.0,True,weighted_round_robin,0,1,0,0
cvae,stage03_outage,S13,Hospital ground floor flooding,2,2,0,False,0,True,28,4,0,2,39,2,3,3,0,99.1,3,3,0,0,1.0,True,one_each_then_rank,0,0,0,0
cvae,stage03_outage,S14,Night dam spillway release,3,3,0,False,0,True,47,6,0,3,60,3,6,8,0,149.1,9,9,0,0,1.0,True,one_each_then_rank,0,0,0,0
cvae,stage03_outage,S15,Five-state monsoon cascade,5,5,0,False,0,True,59,10,0,5,73,3,5,2,0,185.1,9,9,0,0,1.0,True,one_each_then_rank,0,0,0,0
cvae,stage03_outage,S16,Out-of-season cloudburst,2,2,0,False,0,True,24,4,0,2,34,1,2,1,0,64.9,3,3,0,0,1.0,True,one_each_then_rank,0,0,0,0
cvae,stage03_outage,S17,Garbled panic messages,3,3,0,False,0,True,39,6,0,3,50,2,4,4,0,91.6,5,5,0,0,1.0,True,one_each_then_rank,0,0,0,0
cvae,stage03_outage,S18,All quiet (do not cry wolf),3,1,0,False,0,False,30,6,0,3,43,0,2,0,0,139.0,0,0,0,0,1.0,True,one_each_then_rank,0,0,0,0
cvae,stage03_outage,S19,"Four hazards, one district",2,2,0,False,0,True,33,4,0,2,45,2,4,6,0,88.0,6,6,0,0,1.0,True,weighted_round_robin,0,0,0,0
cvae,stage03_outage,S20,"Slow onset, pre-position now",2,2,0,False,0,True,18,4,0,2,29,0,1,0,0,87.6,0,0,0,0,1.0,True,one_each_then_rank,0,0,0,0
cvae,stage03_outage,W01,Flash flood + municipal blackout,4,3,0,False,0,False,34,6,0,3,49,4,6,6,0,107.8,6,4,0,0,0.8667,True,weighted_round_robin,0,2,0,0
